Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
41349.0,85.0,2.0,1.0,31.0,6.0,31.0,0.0,15.5,21.92031022,6.0,6.0,6.0,0.0,435294.1176,35294.11765,42.5,58.68986284,84.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,20.0,23529.41176,11764.70588,0.0,31.0,17.0,16.35033129,267.3333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.66666667,15.5,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,1.0,6.0,1207.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,403095.0,2.0,2.0,58.0,190.0,29.0,29.0,29.0,0.0,95.0,95.0,95.0,0.0,615.2395837,9.923219092,134365.0,232685.4387,403047.0,1.0,1.0,1.0,0.0,1.0,1.0,47.0,47.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,64.0,64.0,4.961609546,4.961609546,29.0,95.0,55.4,36.1496888,1306.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.25,29.0,95.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,2.0,190.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,116190349.0,21.0,21.0,629.0,11497.0,273.0,0.0,29.95238095,77.72288993,1598.0,0.0,547.4761905,698.6784396,104.363229,0.361475806,2833910.951,4406505.644,10000000.0,18.0,116000000.0,5809517.45,5008895.723,10200000.0,177.0,113000000.0,5660494.4,5162365.129,10200000.0,46.0,0.0,0.0,0.0,0.0,444.0,432.0,0.180737903,0.180737903,0.0,1598.0,282.0,551.5668159,304225.9524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,288.7142857,29.95238095,547.4761905,444.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,629.0,21.0,11497.0,8192.0,512.0,19.0,20.0,303039.4545,267675.278,1110110.0,221862.0,9988743.909,69472.90076,10000000.0,9779802.0,0.0
59235.0,48.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,250000.0,41666.66667,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20833.33333,20833.33333,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,6.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,6.0,133.0,256.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443.0,441273.0,9.0,9.0,533.0,4202.0,205.0,0.0,59.22222222,81.09682142,1430.0,0.0,466.8888889,613.8496242,10730.31887,40.79107491,25957.23529,42615.05436,149335.0,2.0,441273.0,55159.125,51583.43012,149335.0,3.0,386344.0,48293.0,75138.95223,186591.0,2.0,0.0,0.0,0.0,0.0,192.0,192.0,20.39553746,20.39553746,0.0,1430.0,249.2105263,464.3110283,215584.731,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,263.0555556,59.22222222,466.8888889,192.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,533.0,9.0,4202.0,8192.0,351.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3659.0,49.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,81632.65306,40816.32653,49.0,0.0,49.0,49.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,40816.32653,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1024.0,-1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,666666.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65535.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443.0,2264.0,4.0,0.0,53.0,0.0,53.0,0.0,13.25,26.5,0.0,0.0,0.0,0.0,23409.89399,1766.784452,754.6666667,1263.154121,2213.0,3.0,2264.0,754.6666667,1263.154121,2213.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,1766.784452,0.0,0.0,53.0,10.6,23.70232056,561.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.25,13.25,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,53.0,0.0,0.0,319.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389.0,139.0,2.0,2.0,326.0,326.0,163.0,163.0,163.0,0.0,163.0,163.0,163.0,0.0,4690647.482,28776.97842,46.33333333,74.19119445,132.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,14388.48921,14388.48921,163.0,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,203.75,163.0,163.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,326.0,2.0,326.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,30593.0,2.0,2.0,78.0,190.0,39.0,39.0,39.0,0.0,95.0,95.0,95.0,0.0,8760.173896,130.7488641,10197.66667,17657.68063,30587.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,65.37443206,65.37443206,39.0,95.0,61.4,30.67246322,940.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.75,39.0,95.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,2.0,190.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,37386.0,1.0,1.0,89.0,105.0,89.0,89.0,89.0,0.0,105.0,105.0,105.0,0.0,5189.108222,53.49596105,37386.0,0.0,37386.0,37386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,26.74798053,26.74798053,89.0,105.0,94.33333333,9.237604307,85.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,141.5,89.0,105.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.0,1.0,105.0,-1.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
