Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,59711,4,4,188,512,47,47,47.0,0.0,128,128,128.0,0.0,11723.13309,133.9786639,8530.142857,22413.03353,59358,3,59543,19847.66667,34371.1049,59536,3,59578,19859.33333,34312.50385,59480,49,0,0,0,0,80,80,66.98933195,66.98933195,47,128,83.0,42.69074841,1822.5,0,0,0,0,0,0,0,0,1,93.375,47.0,128.0,80,0,0,0,0,0,0,4,188,4,512,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,10980757,49,66,1931,121472,355,0,39.40816327,100.7684885,4380,0,1840.484848,803.9752243,11238.11409,10.47286631,96322.42982,819938.2699,8748426,1,2232331,46506.89583,92697.43213,527907,90,10900000,167026.9231,1086228.553,8748455,48,0,0,0,0,992,1332,4.46235173,6.010514576,0,4380,1063.818966,1082.938343,1172755.454,0,0,0,1,0,0,0,0,1,1073.069565,39.40816327,1840.484848,992,0,0,0,0,0,0,49,1931,66,121472,8192,39,48,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,60960227,10,10,506,679,458,0,50.6,143.1581876,667,0,67.9,210.5170619,19.43890399,0.328082768,3208433.0,4734414.276,10000000,44,60400000,6709451.0,4983859.294,10100000,12474,60900000,6767723.444,4930586.236,10100000,1072,0,0,0,0,212,284,0.164041384,0.164041384,0,667,56.42857143,171.4854429,29407.25714,0,0,0,1,0,0,0,0,1,59.25,50.6,67.9,212,0,0,0,0,0,0,10,506,10,679,8192,110,9,20,74643.66667,58445.84296,193945,50493,9989532.833,30896.60631,10000000,9927327,BENIGN
53,73099,2,2,78,162,39,39,39.0,0.0,81,81,81.0,0.0,3283.218649,54.72031081,24366.33333,42200.26324,73095,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,27.36015541,27.36015541,39,81,55.8,23.00434742,529.2,0,0,0,0,0,0,0,0,1,69.75,39.0,81.0,64,0,0,0,0,0,0,2,78,2,162,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
993,49,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,326530.6122,81632.65306,16.33333333,16.04161255,33,1,49,49.0,0.0,49,49,1,1.0,0.0,1,1,0,0,0,0,48,40,40816.32653,40816.32653,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
54363,6453,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,6663.567333,464.9000465,3226.5,4558.717418,6450,3,6453,3226.5,4558.717418,6450,3,0,0.0,0.0,0,0,0,0,0,0,60,0,464.9000465,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,946,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,826256,6,10,704,5718,373,0,117.3333333,148.1373237,1460,0,571.8,646.3797989,7772.40952,19.36445847,55083.73333,94437.03975,251595,1,574399,114879.8,128399.2,254584,364,574765,63862.77778,110188.8656,257925,1,0,0,0,0,132,212,7.261671927,12.10278655,0,1460,377.7647059,547.5020011,299758.4412,0,0,0,1,0,0,0,0,1,401.375,117.3333333,571.8,132,0,0,0,0,0,0,6,704,10,5718,8192,62,5,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48304,1,1,37,109,37,37,37.0,0.0,109,109,109.0,0.0,3022.524015,41.40443856,48304.0,0.0,48304,48304,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,40,20.70221928,20.70221928,37,109,61.0,41.56921938,1728.0,0,0,0,0,0,0,0,0,1,91.5,37.0,109.0,32,0,0,0,0,0,0,1,37,1,109,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
32770,107,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,149532.7103,37383.17757,35.66666667,21.36195996,48,11,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,48,40,18691.58879,18691.58879,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,185,2,2,84,228,42,42,42.0,0.0,114,114,114.0,0.0,1686486.486,21621.62162,61.66666667,105.077749,183,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,10810.81081,10810.81081,42,114,70.8,39.43602414,1555.2,0,0,0,0,0,0,0,0,1,88.5,42.0,114.0,64,0,0,0,0,0,0,2,84,2,228,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23772,1,1,45,123,45,45,45.0,0.0,123,123,123.0,0.0,7067.137809,84.13259297,23772.0,0.0,23772,23772,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,32,42.06629648,42.06629648,45,123,71.0,45.033321,2028.0,0,0,0,0,0,0,0,0,1,106.5,45.0,123.0,40,0,0,0,0,0,0,1,45,1,123,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1057,44,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,363636.3636,90909.09091,14.66666667,19.34769581,37,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,48,40,45454.54545,45454.54545,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
2068,49,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,81632.65306,40816.32653,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0,0,0,48,0,40816.32653,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
55994,35,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,342857.1429,57142.85714,35.0,0.0,35,35,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,28571.42857,28571.42857,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,385,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
5801,48,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,83333.33333,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,48,0,41666.66667,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,162,2,2,62,196,31,31,31.0,0.0,98,98,98.0,0.0,1592592.593,24691.35802,54.0,87.46999486,155,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,12345.67901,12345.67901,31,98,57.8,36.69741135,1346.7,0,0,0,0,0,0,0,0,1,72.25,31.0,98.0,64,0,0,0,0,0,0,2,62,2,196,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
